66	The Stand	Stephen King	https://insacrazybigkinghobufamily.files.wordpress.com/2020/01/the-stand.pdf http://67-231-249-98.static.as40244.net:8090/get/pdf/The%20Stand_%20The%20Complete%20%26amp%3B%20Uncut%20Edition%20-%20Stephen%20King_2696.pdf http://reliefwatch.com/The-Stand-By-Stephen-King.pdf
67	More Than Love, A Husband's Tale	Peter B. Forster	http://link.springer.com/content/pdf/10.1007%2F978-1-349-05625-5.pdf https://link.springer.com/content/pdf/10.1007%2F978-1-349-12850-1.pdf https://core.ac.uk/download/pdf/16292656.pdf
68	Gone Girl	Gillian Flynn	http://1.droppdf.com/files/AVGGE/gone-girl-gillian-flynn.pdf https://durhamcountylibrary.org/wp-content/uploads/2013/04/gone_girl_DISCUSSION.pdf http://coffeeandbooksandhearts.weebly.com/uploads/2/8/6/4/28645871/gone_girl.pdf
69	The Help	Kathryn Stockett	https://gelleresol.weebly.com/uploads/3/0/1/6/30164729/the_help_-_kathryn_stockett.pdf http://www.penguin.com/static/pdf/teachersguides/the_helpTG.pdf https://www.ccsoh.us/cms/lib/OH01913306/Centricity/Domain/207/THE%20HELP%20BY%20KATHRYN%20STOCKETT%20TEACHER%20RESOURCE.pdf
70	Emma	Jane Austen	https://www.planetebook.com/free-ebooks/emma.pdf http://www.jasna.org/persuasions/printed/number14/mcmaster.pdf https://www.bccls.org/BookClubBooks/Emma.pdf
71	My Sister's Keeper	Jodi Picoult	https://www.bccls.org/BookClubBooks/MySistersKeeper.pdf http://ebooksbeus.weebly.com/uploads/6/3/0/8/6308108/my_sisters_keeper_-_jodi_picoult.pdf https://www.jodipicoult.com/pdfs/my-sisters-keeper-questions.pdf
72	The Immortals, Evermore	Alyson Noel	http://ftp.mediapost.com/evermore_the_immortals_1_alyson_noel.pdf https://www.alysonnoel.com/pdfs/immortals-series-fast-facts.pdf http://chiefminister.punjab.gov.pk/evermore_the_immortals_1_alyson_noel.pdf
73	Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth	Steve Snyder	http://67-231-249-98.static.as40244.net:8090/get/PDF/Steve%20Snyder-Shot%20Down_%20The%20True%20Story%20of%20Pilot%20Howard%20Snyder%20and%20the%20Crew%20of%20the%20B-17%20Susan%20Ruth_4715.pdf https://qlkserpdf.web.app/shot-down-the-true-story-of-pilot-howard-snyder-and-the-crew-of-the-b-17-susan-ruth.pdf
74	The Notebook, The Notebook	Nicholas Sparks	https://d4804za1f1gw.cloudfront.net/wp-content/uploads/sites/50/2018/10/26105017/BookClubKit-Notebook-by-Nicholas-Sparks.pdf http://eprints.undip.ac.id/31337/2/BOOK_REVIEW_OF_THE_NOTEBOOK.pdf https://lib.store.yahoo.net/lib/monkeynote/pmNotebook-NicholasSparksSample.pdf
75	Dancing Soul Trilogy, America's Daughter	Maria Nhambu	http://marianhambu.com/wp/wp-content/uploads/AMERICA%E2%80%99S-DAUGHTERMARIA-NHAMBUA-Memoir.pdf http://www.themarsh.com/wp-content/uploads/2017/08/September-Newsletter-17-final.pdf https://container.parishesonline.com/bulletins/01/0380/20190818B.pdf
